,event_type,details_api,title,location,image
0,theater,https://tik8.com/event/نمایش-خرچنگ-خانگی-تئاتر-شهر/,نمایش تنها خرچنگ خانگی لای ملافه‌ها خانه می‌کند اتللو,تئاتر شهر,https://mno.tik8.com/thumbnail/2020-2/17f9bad0-4ca6-11ea-86ca-638f21da8537.jpeg
1,theater,https://tik8.com/event/نمایشنامه-خوانی-زندگی-شیرین-با-مزه-سگی-دیوار-چهارم/,نمایشنامه خوانی زندگی شیرین با مزه سگی,مجموعه تماشاخانه دیوار چهارم,https://mno.tik8.com/thumbnail/2020-2/5dad6fa0-5627-11ea-b145-a14f24cec970.jpg
2,theater,https://tik8.com/event/نمایش-خرس-و-خواستگاری-تماشاخانه-ملک/,نمایش خرس و خواستگاری,تماشاخانه ملک,https://mno.tik8.com/thumbnail/2020-2/21d97320-522b-11ea-97d0-83f9f5c611d4.jpg
3,theater,https://tik8.com/event/نمایش-ویرانه-های-زیبا-خانه-نمایش-دا/,نمایش ویرانه های زیبا,خانه نمایش دا,https://mno.tik8.com/thumbnail/2020-2/e8138e70-50c2-11ea-bb73-d3eeb1b1a4bd.jpg
4,kid,https://tik8.com/event/ننه-شهرزاد-در-سرزمین-عجایب-فرهنگسرای-خانواده/,نمایش کودک ننه شهرزاد در سرزمین عجایب,فرهنگسرای خانواده,https://mno.tik8.com/thumbnail/2019-11/48e945b0-0dcb-11ea-8a6f-fb42c9197e76.jpg
5,kid,https://tik8.com/event/نمایش-کودک-موشی-و-شیر-نادان-فرهنگسرای- قیطریه/,نمایش کودک موشی و شیر نادان,فرهنگسرای قیطریه,https://mno.tik8.com/thumbnail/2020-2/b3a58870-4fd0-11ea-a09d-5564312dac23.jpg
6,kid,https://tik8.com/event/نمایش-کودک-پیر-مرد-و-ببر-فرهنگسرای-سرو/,نمایش کودک پیر مرد و ببر,فرهنگسرای سرو,https://mno.tik8.com/thumbnail/2020-2/e6eaa990-4d95-11ea-9cbb-bbaed2734eda.jpg
7,kid,https://tik8.com/event/نمایش-کودک-چاه-جادو-کانون-فرهنگی-سبحان/,نمایش کودک چاه جادو,کانون سبحان,https://mno.tik8.com/thumbnail/2020-2/f8422b70-48bb-11ea-a81d-f9e16fb86fb3.jpg
8,kid,https://tik8.com/event/نمایش-کودک-جنگل-مهربانی/,نمایش کودک جنگل مهربانی,فرهنگسرای نیاوران,https://mno.tik8.com/thumbnail/2020-2/a9d924f0-468e-11ea-8382-ad933920b9f2.jpg
9,kid,https://tik8.com/event/نمایش-کودک-جزیره-لانگولیو-مجتمع-فرهنگی-هنری-نور/,نمایش کودک جزیره لانگولیو,مجتمع فرهنگی هنری نور,https://mno.tik8.com/thumbnail/2020-2/f8d083a0-4670-11ea-95ce-b599f302eb65.jpg
